Column1,TRAJECT_ID,waterschap,lengte,Type,Status,Kosten_VR_norm_2075,Kosten_VR_opt,Kosten_ref_norm_2075
213,4-2,Wetterskip Fryslan,1062809,Dijk,,,,
262,42-1,Waterschap Rivierenland,17420451,Dijk,,,,
44,43-1,Waterschap Rivierenland,1588384,Dijk,,,,
182,43-2,Waterschap Rivierenland,33954436,Dijk,,,,
252,43-3,Waterschap Rivierenland,25364579,Dijk,,,,
20,43-4,Waterschap Rivierenland,25840202,Dijk,,,,
99,43-5,Waterschap Rivierenland,22528392,Dijk,,,,
254,43-6,Waterschap Rivierenland,46865391,Dijk,,,,
86,44-1,De Stichtse Rijnlanden,32414972,Dijk,,,,
75,44-2,"HH Amstel, Gooi en Vecht",25888843,Dijk,,,,
74,44-2,HH Hollands Noorderkwartier,3244,Dijk,,,,
201,44-3,HH Hollands Noorderkwartier,3709616,Dijk,,,,
202,44-3,HH van Rijnland,2819961,Dijk,,,,
180,45-1,Vallei & Veluwe,554562,Dijk,,,,
125,45-2,Vallei & Veluwe,28373439,Dijk,,,,
52,45-3,Vallei & Veluwe,4832668,Dijk,,,,
227,46-1,"HH Amstel, Gooi en Vecht",18737,Dijk,,,,
226,46-1,Vallei & Veluwe,7188796,Dijk,,,,
62,47-1,Waterschap Rijn en IJssel,15423692,Dijk,Geanalyseerd,,,
57,48-1,Waterschap Rijn en IJssel,26969065,Dijk,,,,
67,48-2,Waterschap Rijn en IJssel,12662561,Dijk,,,,
98,48-3,Waterschap Rijn en IJssel,13180328,Dijk,,,,
50,49-1,Waterschap Rijn en IJssel,12244286,Dijk,,,,
225,49-2,Waterschap Rijn en IJssel,20818688,Dijk,,,,
196,50-1,Waterschap Rijn en IJssel,5323086,Dijk,,,,
257,50-2,Waterschap Rijn en IJssel,8140195,Dijk,,,,
246,5-1,HH Hollands Noorderkwartier,26095034,Dijk,,,,
259,51-1,Waterschap Rijn en IJssel,23684938,Dijk,,,,
261,5-2,HH Hollands Noorderkwartier,27457707,Dijk,,,,
106,52-1,Vallei & Veluwe,19982671,Dijk,,,,
243,52-2,Vallei & Veluwe,24631216,Dijk,,,,
22,52-3,Vallei & Veluwe,8819539,Dijk,,,,
198,52-4,Vallei & Veluwe,4637591,Dijk,,,,
45,52a-1,Vallei & Veluwe,17816013,Dijk,,,,
72,53-1,Waterschap Drents Overijsselse Delta,17645345,Dijk,Geanalyseerd,,,
73,53-1,Waterschap Rijn en IJssel,78545,Dijk,,,,
255,53-2,Waterschap Drents Overijsselse Delta,28882563,Dijk,,,,
33,53-3,Vechtstromen,16,Dijk,,,,
32,53-3,Waterschap Drents Overijsselse Delta,36676741,Dijk,Gepland,,,
46,54-1,Waterschap Limburg,12846006,Dijk,,,,
206,55-1,Waterschap Limburg,7924589,Dijk,,,,
228,56-1,Waterschap Limburg,3022098,Dijk,,,,
264,57-1,Waterschap Limburg,183159,Dijk,,,,
210,58-1,Aa en Maas,1733932,Dijk,,,,
54,59-1,Waterschap Limburg,622438,Dijk,,,,
19,60-1,Waterschap Limburg,5664502,Dijk,,,,
190,6-1,Waterschap Zuiderzeeland,1158,Dijk,,,,
191,6-1,Wetterskip Fryslan,32572003,Dijk,,,,
126,61-1,Waterschap Limburg,5500692,Dijk,,,,
200,6-2,Wetterskip Fryslan,29534238,Dijk,,,,
29,62-1,Waterschap Limburg,5455084,Dijk,,,,
101,6-3,Wetterskip Fryslan,4243174,Dijk,,,,
166,63-1,Waterschap Limburg,2951349,Dijk,,,,
70,63-2,Waterschap Limburg,3867314,Dijk,,,,
142,6-4,Wetterskip Fryslan,28960196,Dijk,,,,
107,64-1,Waterschap Limburg,2790824,Dijk,,,,
188,6-5,Waterschap Noorderzijlvest,9018871,Dijk,,,,
187,6-5,Wetterskip Fryslan,4400626,Dijk,,,,
55,65-1,Waterschap Limburg,510327,Dijk,,,,
124,6-6,Waterschap Noorderzijlvest,46100548,Dijk,,,,
195,66-1,Waterschap Limburg,137336,Dijk,,,,
170,6-7,Waterschap Hunze en Aa's,2739834,Dijk,,,,
171,6-7,Waterschap Noorderzijlvest,11212031,Dijk,,,,
207,67-1,Waterschap Limburg,867449,Dijk,,,,
12,68-1,Waterschap Limburg,10047895,Dijk,,,,
260,68-2,Waterschap Limburg,4814386,Dijk,,,,
168,69-1,Waterschap Limburg,4570939,Dijk,,,,
169,70-1,Waterschap Limburg,4789429,Dijk,,,,
175,7-1,Waterschap Zuiderzeeland,11506217,Dijk,,,,
121,71-1,Waterschap Limburg,96449,Dijk,,,,
111,7-2,Waterschap Zuiderzeeland,44337996,Dijk,Geanalyseerd,,,
112,7-2,Wetterskip Fryslan,135553,Dijk,,,,
165,72-1,Waterschap Limburg,146574,Dijk,,,,
178,73-1,Waterschap Limburg,1419917,Dijk,,,,
100,74-1,Waterschap Limburg,2386418,Dijk,,,,
119,75-1,Waterschap Limburg,1270444,Dijk,,,,
173,76-1,Waterschap Limburg,2793533,Dijk,,,,
14,76-2,Waterschap Limburg,1957627,Dijk,,,,
216,76a-1,Waterschap Limburg,1741188,Dijk,,,,
179,77-1,Waterschap Limburg,8416754,Dijk,,,,
31,78-1,Waterschap Limburg,7501419,Dijk,,,,
3,78a-1,Waterschap Limburg,441884,Dijk,,,,
139,79-1,Waterschap Limburg,7917389,Dijk,,,,
88,80-1,Waterschap Limburg,1350124,Dijk,,,,
230,8-1,Waterschap Zuiderzeeland,25491257,Dijk,,,,
69,81-1,Waterschap Limburg,13878527,Dijk,,,,
215,8-2,Waterschap Zuiderzeeland,29233252,Dijk,,,,
