traject_name,a_piping,N_overflow,N_blockrevetment,p_max,p_sig,flood_damage
52-3,,,4,1.00E-03,3.33E-04,
52-4,,,4,1.00E-03,3.33E-04,
52a-1,,,4,1.00E-03,3.33E-04,
53-2,,,4,3.33E-04,1.00E-04,
53-3,,,4,3.33E-04,1.00E-04,
54-1,,,4,3.33E-03,1.00E-03,
55-1,,,4,3.33E-03,1.00E-03,
56-1,,,4,1.00E-02,3.33E-03,
57-1,,,4,1.00E-02,3.33E-03,
58-1,,,4,1.00E-02,3.33E-03,
59-1,,,4,1.00E-02,3.33E-03,
60-1,,,4,1.00E-02,3.33E-03,
6-1,,,4,1.00E-03,3.33E-04,
61-1,,,4,1.00E-02,3.33E-03,
6-2,,,4,1.00E-03,3.33E-04,
62-1,,,4,1.00E-02,3.33E-03,
6-3,,,4,1.00E-03,3.33E-04,
63-1,,,4,1.00E-02,3.33E-03,
6-4,,,4,1.00E-03,3.33E-04,
64-1,,,4,1.00E-02,3.33E-03,
6-5,,,4,1.00E-03,3.33E-04,
65-1,,,4,1.00E-02,3.33E-03,
6-6,,,4,1.00E-03,3.33E-04,
66-1,,,4,1.00E-02,3.33E-03,
6-7,,,4,3.33E-04,1.00E-04,
67-1,,,4,1.00E-02,3.33E-03,
68-1,,,4,3.33E-03,1.00E-03,
68-2,,,4,1.00E-02,3.33E-03,
69-1,,,4,3.33E-03,1.00E-03,
70-1,,,4,1.00E-02,3.33E-03,
7-1,,,4,1.00E-03,3.33E-04,
71-1,,,4,1.00E-02,3.33E-03,
72-1,,,4,1.00E-02,3.33E-03,
73-1,,,4,1.00E-02,3.33E-03,
74-1,,,4,1.00E-02,3.33E-03,
75-1,,,4,1.00E-02,3.33E-03,
76-1,,,4,1.00E-02,3.33E-03,
76-2,,,4,1.00E-02,3.33E-03,
76a-1,,,4,1.00E-02,3.33E-03,
77-1,,,4,1.00E-02,3.33E-03,
78-1,,,4,1.00E-02,3.33E-03,
78a-1,,,4,1.00E-02,3.33E-03,
79-1,,,4,1.00E-02,3.33E-03,
80-1,,,4,1.00E-02,3.33E-03,
8-1,,,4,1.00E-04,3.33E-05,
81-1,,,4,1.00E-02,3.33E-03,
8-2,,,4,1.00E-04,3.33E-05,
82-1,,,4,1.00E-02,3.33E-03,
8-3,,,4,1.00E-04,3.33E-05,
83-1,,,4,1.00E-02,3.33E-03,
8-4,,,4,1.00E-04,3.33E-05,
84-1,,,4,1.00E-02,3.33E-03,
8-5,,,4,1.00E-03,3.33E-04,
85-1,,,4,1.00E-02,3.33E-03,
8-6,,,4,1.00E-03,3.33E-04,
86-1,,,4,1.00E-02,3.33E-03,
8-7,,,4,1.00E-03,3.33E-04,
87-1,,,4,3.33E-03,1.00E-03,
88-1,,,4,1.00E-02,3.33E-03,
89-1,,,4,1.00E-02,3.33E-03,
90-1,,,4,1.00E-03,3.33E-04,
9-1,,,4,3.33E-03,1.00E-03,
91-1,,,4,3.33E-03,3.33E-03,
9-2,,,4,1.00E-03,3.33E-04,
92-1,,,4,1.00E-02,3.33E-03,
93-1,,,4,3.33E-03,1.00E-03,
94-1,,,4,1.00E-02,3.33E-03,
95-1,,,4,1.00E-02,3.33E-03,
